##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.688007167399064	32.0	32.0	32.0	32.0	32.0
2	30.933836177723204	32.0	32.0	32.0	32.0	32.0
3	34.450011741060365	37.0	32.0	37.0	32.0	37.0
4	35.070974947029725	37.0	37.0	37.0	32.0	37.0
5	35.32016658891235	37.0	37.0	37.0	32.0	37.0
6	38.46256552941207	41.0	37.0	41.0	32.0	41.0
7	38.67738682613732	41.0	37.0	41.0	32.0	41.0
8	38.759038821108106	41.0	41.0	41.0	32.0	41.0
9	38.9613849193837	41.0	41.0	41.0	32.0	41.0
10-11	39.06279638047431	41.0	41.0	41.0	32.0	41.0
12-13	39.0588554356367	41.0	41.0	41.0	32.0	41.0
14-15	39.00968959292192	41.0	41.0	41.0	32.0	41.0
16-17	38.94758067084069	41.0	41.0	41.0	32.0	41.0
18-19	38.94411136704018	41.0	41.0	41.0	32.0	41.0
20-21	38.8524252708269	41.0	41.0	41.0	32.0	41.0
22-23	38.86185199407649	41.0	41.0	41.0	32.0	41.0
24-25	38.7972323278749	41.0	41.0	41.0	32.0	41.0
26-27	38.60339395911943	41.0	41.0	41.0	32.0	41.0
28-29	38.53507975452308	41.0	41.0	41.0	32.0	41.0
30-31	38.467768248676876	41.0	41.0	41.0	32.0	41.0
32-33	38.46507302153648	41.0	41.0	41.0	32.0	41.0
34-35	38.54359266691174	41.0	41.0	41.0	32.0	41.0
36-37	38.55484992512957	41.0	41.0	41.0	32.0	41.0
38-39	38.51352613513967	41.0	41.0	41.0	32.0	41.0
40-41	38.461283396135244	41.0	41.0	41.0	32.0	41.0
42-43	38.42076857401197	41.0	41.0	41.0	32.0	41.0
44-45	38.361368801678786	41.0	41.0	41.0	32.0	41.0
46-47	38.340652672876445	41.0	41.0	41.0	32.0	41.0
48-49	38.303841027262166	41.0	41.0	41.0	32.0	41.0
50-51	38.30002921376359	41.0	41.0	41.0	32.0	41.0
52-53	38.2400695561283	41.0	41.0	41.0	32.0	41.0
54-55	38.22384656785025	41.0	41.0	41.0	32.0	41.0
56-57	38.162156678996695	41.0	41.0	41.0	32.0	41.0
58-59	38.118063069209384	41.0	41.0	41.0	32.0	41.0
60-61	38.05106341622445	41.0	39.0	41.0	32.0	41.0
62-63	37.99245882465007	41.0	37.0	41.0	29.5	41.0
64-65	37.95407944598997	41.0	37.0	41.0	27.0	41.0
66-67	37.87221867965442	41.0	37.0	41.0	27.0	41.0
68-69	37.83919188307232	41.0	37.0	41.0	27.0	41.0
70-71	37.67272407369944	41.0	37.0	41.0	27.0	41.0
72-73	37.5844600934705	41.0	37.0	41.0	27.0	41.0
74-75	37.47390554415174	41.0	37.0	41.0	27.0	41.0
76-77	36.886647751793575	41.0	37.0	41.0	24.5	41.0
78-79	37.00427064980163	41.0	37.0	41.0	24.5	41.0
80-81	37.22252408949872	41.0	37.0	41.0	27.0	41.0
82-83	37.19473466626324	41.0	37.0	41.0	27.0	41.0
84-85	37.12553917076542	41.0	37.0	41.0	24.5	41.0
86-87	37.034129290957836	41.0	37.0	41.0	22.0	41.0
88-89	36.75635416295454	41.0	37.0	41.0	22.0	41.0
90-91	36.655361633466725	41.0	37.0	41.0	22.0	41.0
92-93	36.481733335519394	41.0	37.0	41.0	22.0	41.0
94-95	36.34037699847007	41.0	37.0	41.0	22.0	41.0
96-97	36.273101738828686	41.0	37.0	41.0	22.0	41.0
98-99	36.05177594208629	41.0	37.0	41.0	22.0	41.0
100-101	35.48027867708262	41.0	34.5	41.0	17.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-1.7087340535273192
1101	2	-0.2066310977300887
1101	3	-0.5519475199773325
1101	4	-0.29685272906927906
1101	5	0.08724081042925036
1101	6	-0.12116763578758594
1101	7	-0.048308836504432406
1101	8	0.050421876264785226
1101	9	-0.12479907218190789
1101	10-11	-0.043281220038593915
1101	12-13	-0.09055614181897909
1101	14-15	-0.15922369005364345
1101	16-17	-0.18760672489226948
1101	18-19	-0.0897372409195043
1101	20-21	0.031254800474101785
1101	22-23	-0.02971930280948243
1101	24-25	-0.06076314449969544
1101	26-27	-0.08423193547839958
1101	28-29	-0.13745721131081012
1101	30-31	-0.22218887284419253
1101	32-33	-0.1636634575173801
1101	34-35	-0.3217272487160727
1101	36-37	-0.262212963713786
1101	38-39	-0.3058165480037758
1101	40-41	-0.4441335031321927
1101	42-43	-0.4099328620763316
1101	44-45	-0.3158921173842302
1101	46-47	-0.3989584495791334
1101	48-49	-0.3669441329636811
1101	50-51	-0.21863219576221837
1101	52-53	-0.3042377038158932
1101	54-55	-0.30850543543154174
1101	56-57	-0.3682656064249912
1101	58-59	-0.41286992385712296
1101	60-61	-0.3104009673627175
1101	62-63	-0.2411922521238381
1101	64-65	-0.32774747839066976
1101	66-67	-0.24421940553250465
1101	68-69	-0.3702161600648495
1101	70-71	-0.29412857090126465
1101	72-73	-0.22497206457111218
1101	74-75	-0.329548894075927
1101	76-77	-0.4874937685819347
1101	78-79	-0.2147928410013904
1101	80-81	-0.09485966457597073
1101	82-83	-0.1541897778399175
1101	84-85	-0.20998822178848542
1101	86-87	-0.2407541084240563
1101	88-89	0.004402929787801213
1101	90-91	0.18839200208512352
1101	92-93	0.1330208283033869
1101	94-95	0.13189956673180347
1101	96-97	-0.14802025408946662
1101	98-99	0.20149382224705192
1101	100-101	-0.14777201505996373
1102	1	-1.2106444716673685
1102	2	-0.19001643261499623
1102	3	-0.2761706469180467
1102	4	-0.1768750379632138
1102	5	0.15294183604773082
1102	6	0.04627780216806343
1102	7	0.07882761089773993
1102	8	0.15488609642083873
1102	9	-0.007170159554895861
1102	10-11	-0.010472897271640136
1102	12-13	-0.03864254216494345
1102	14-15	-0.12487310628633708
1102	16-17	-0.11255512287110037
1102	18-19	0.038477570339018996
1102	20-21	0.11457415944911276
1102	22-23	0.008201573011241692
1102	24-25	-0.011108511836042112
1102	26-27	0.039291974593460566
1102	28-29	0.012802914280932498
1102	30-31	0.05013340627458973
1102	32-33	0.004056745044906052
1102	34-35	-0.1375837874011836
1102	36-37	-0.20538041754740988
1102	38-39	-0.2411470380799159
1102	40-41	-0.23592731068344364
1102	42-43	-0.19838692686919046
1102	44-45	-0.09386098545973454
1102	46-47	-0.276252904811507
1102	48-49	-0.1742770495334156
1102	50-51	-0.2534311189228333
1102	52-53	-0.1721899138671077
1102	54-55	-0.24617041663226047
1102	56-57	-0.2318039168981869
1102	58-59	-0.18847973060887568
1102	60-61	-0.176329086430286
1102	62-63	-0.22024146697847868
1102	64-65	-0.22345681460975442
1102	66-67	-0.14181851135032275
1102	68-69	-0.2982168598506405
1102	70-71	-0.1997108833331609
1102	72-73	-0.0848336827053302
1102	74-75	-0.0027991313454336364
1102	76-77	-0.10618472323571382
1102	78-79	-0.176893175273932
1102	80-81	-0.03400476783193085
1102	82-83	0.001014950744171017
1102	84-85	-0.004061230611810629
1102	86-87	-0.03521812310733452
1102	88-89	0.25144911130451675
1102	90-91	0.3287162668516075
1102	92-93	0.4093502040395265
1102	94-95	0.3753381452107334
1102	96-97	0.3464030379511982
1102	98-99	0.5172736860767841
1102	100-101	0.20889101238184793
1103	1	-1.6075917241332043
1103	2	-0.16482303567347145
1103	3	-0.39305379887321124
1103	4	-0.17847509003402706
1103	5	0.05602787671082865
1103	6	0.010916102854359622
1103	7	0.12032482044175197
1103	8	-0.0036009722304655156
1103	9	-0.050914641976973485
1103	10-11	-0.09616186294372397
1103	12-13	-0.14308317558044337
