##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	28.652620099259046	32.0	32.0	32.0	12.0	32.0
2	28.849100274346508	32.0	32.0	32.0	12.0	32.0
3	31.37746702848735	37.0	32.0	37.0	12.0	37.0
4	32.11221750487088	37.0	32.0	37.0	12.0	37.0
5	32.38687993075417	37.0	32.0	37.0	12.0	37.0
6	34.71526451667278	41.0	32.0	41.0	12.0	41.0
7	34.71842010448934	41.0	32.0	41.0	12.0	41.0
8	34.81163687454464	41.0	32.0	41.0	12.0	41.0
9	35.089581851586225	41.0	32.0	41.0	12.0	41.0
10-11	35.05466442586079	41.0	32.0	41.0	12.0	41.0
12-13	35.06420313972079	41.0	32.0	41.0	12.0	41.0
14-15	34.97696729833526	41.0	32.0	41.0	12.0	41.0
16-17	34.7654677122195	41.0	32.0	41.0	12.0	41.0
18-19	34.89611180524663	41.0	32.0	41.0	12.0	41.0
20-21	34.834982750194	41.0	32.0	41.0	12.0	41.0
22-23	34.72020033514528	41.0	32.0	41.0	12.0	41.0
24-25	34.848778563872514	41.0	32.0	41.0	12.0	41.0
26-27	34.838843377506734	41.0	32.0	41.0	12.0	41.0
28-29	34.80807495660957	41.0	32.0	41.0	12.0	41.0
30-31	34.753670758174394	41.0	32.0	41.0	12.0	41.0
32-33	34.398930946982574	41.0	32.0	41.0	12.0	41.0
34-35	34.18941744964115	41.0	32.0	41.0	12.0	41.0
36-37	34.04243180598375	41.0	27.0	41.0	12.0	41.0
38-39	33.955228620057525	41.0	27.0	41.0	12.0	41.0
40-41	34.24443095694181	41.0	32.0	41.0	12.0	41.0
42-43	34.45213183916766	41.0	32.0	41.0	12.0	41.0
44-45	34.578471136435724	41.0	32.0	41.0	12.0	41.0
46-47	34.58229395929558	41.0	32.0	41.0	12.0	41.0
48-49	34.55932284230408	41.0	32.0	41.0	12.0	41.0
50-51	34.54454414672572	41.0	32.0	41.0	12.0	41.0
52-53	34.60190163172962	41.0	32.0	41.0	12.0	41.0
54-55	34.4297052621224	41.0	32.0	41.0	12.0	41.0
56-57	34.5017144793629	41.0	32.0	41.0	12.0	41.0
58-59	34.42146453501945	41.0	32.0	41.0	12.0	41.0
60-61	34.31962191346628	41.0	32.0	41.0	12.0	41.0
62-63	34.342850039762425	41.0	32.0	41.0	12.0	41.0
64-65	34.30466777948162	41.0	32.0	41.0	12.0	41.0
66-67	34.27948334049901	41.0	32.0	41.0	12.0	41.0
68-69	34.19242012589831	41.0	32.0	41.0	12.0	41.0
70-71	34.21942907010666	41.0	32.0	41.0	12.0	41.0
72-73	34.14366186667549	41.0	32.0	41.0	12.0	41.0
74-75	34.10858160402803	41.0	32.0	41.0	12.0	41.0
76-77	33.42069858834921	39.0	29.5	41.0	12.0	41.0
78-79	33.5967598873888	41.0	27.0	41.0	12.0	41.0
80-81	34.02950359772376	41.0	32.0	41.0	12.0	41.0
82-83	34.125062245234915	41.0	32.0	41.0	12.0	41.0
84-85	34.020318030298576	41.0	29.5	41.0	12.0	41.0
86-87	33.93546166757203	41.0	27.0	41.0	12.0	41.0
88-89	33.867008169149315	41.0	27.0	41.0	12.0	41.0
90-91	33.771406906941294	41.0	27.0	41.0	12.0	41.0
92-93	33.65099809853087	41.0	27.0	41.0	12.0	41.0
94-95	33.501072108538615	41.0	27.0	41.0	12.0	41.0
96-97	33.43136347518043	41.0	27.0	41.0	12.0	41.0
98-99	33.2534278408522	41.0	27.0	41.0	12.0	41.0
100-101	32.284609332984466	39.0	24.5	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-1.4229259859184218
1101	2	-1.7693123971202276
1101	3	-2.6638506097499572
1101	4	-2.440710521343732
1101	5	-2.37539476109594
1101	6	-3.3549015486011804
1101	7	-2.1534080633283565
1101	8	-1.4552264474321532
1101	9	-1.1983706164779733
1101	10-11	-1.0215975976580083
1101	12-13	-1.1609193480217783
1101	14-15	-0.9683966269134672
1101	16-17	-0.9136087715103827
1101	18-19	-0.9165010582186568
1101	20-21	-0.7964773637944731
1101	22-23	-1.0055873498122878
1101	24-25	-1.0348646109755393
1101	26-27	-1.0258643579101019
1101	28-29	-0.8056916714955094
1101	30-31	-0.8700706956029762
1101	32-33	-0.7897478813010537
1101	34-35	-0.9598305400949414
1101	36-37	-0.8679814130659338
1101	38-39	-1.1689822050717424
1101	40-41	-1.1808848778988477
1101	42-43	-1.2402032494616009
1101	44-45	-1.0964007757826835
1101	46-47	-1.038357720931323
1101	48-49	-1.0735159627741098
1101	50-51	-0.9438122086252463
1101	52-53	-1.0386913247424658
1101	54-55	-0.8465755331038949
1101	56-57	-1.041717208044119
1101	58-59	-1.1652360285701988
1101	60-61	-0.9664595421449249
1101	62-63	-1.2000865046609306
1101	64-65	-1.1624271276907407
1101	66-67	-1.0425524832992892
1101	68-69	-1.1417483114149434
1101	70-71	-1.2397354935131375
1101	72-73	-1.1593402176763874
1101	74-75	-1.1635082181264025
1101	76-77	-1.260801237497212
1101	78-79	-1.0892948010925565
1101	80-81	-1.063756945198591
1101	82-83	-1.0829798891517015
1101	84-85	-1.1849414774005353
1101	86-87	-1.1672546722124721
1101	88-89	-1.493533539055214
1101	90-91	-1.376541826039876
1101	92-93	-1.2416814171506232
1101	94-95	-1.1780308546877123
1101	96-97	-1.2412444970103778
1101	98-99	-1.2806809600040978
1101	100-101	-1.4272049889430605
1102	1	-1.159873051490969
1102	2	-1.5732964296023049
1102	3	-2.4600352380147186
1102	4	-2.4149305919689255
1102	5	-2.7072027352219834
1102	6	-3.276533328714965
1102	7	-2.9191004207941376
1102	8	-2.0389106126467027
1102	9	-1.7192344071001813
1102	10-11	-1.403247818033087
1102	12-13	-1.4810545535288
1102	14-15	-1.4146606623060407
1102	16-17	-1.2335327598386527
1102	18-19	-1.264558762339476
1102	20-21	-1.36778870763726
1102	22-23	-1.4852523478043267
1102	24-25	-1.2653459490024943
1102	26-27	-1.3023916116647882
1102	28-29	-1.3419289225171838
1102	30-31	-1.3054882722599714
1102	32-33	-1.150373394200514
1102	34-35	-1.1721852297828121
1102	36-37	-1.2857001795281562
1102	38-39	-1.434986297515053
1102	40-41	-1.540662999702377
1102	42-43	-1.4896129110714966
1102	44-45	-1.3955967862083298
1102	46-47	-1.3801131735639203
1102	48-49	-1.3569815314649532
1102	50-51	-1.3240974435060338
1102	52-53	-1.4884711356206068
1102	54-55	-1.2906279467793738
1102	56-57	-1.257586614554043
1102	58-59	-1.4592278701225538
1102	60-61	-1.331320795362437
1102	62-63	-1.4222765649926004
1102	64-65	-1.416581332507043
1102	66-67	-1.386543317740447
1102	68-69	-1.2269162625810566
1102	70-71	-1.3690578048889392
1102	72-73	-1.2923721688407426
1102	74-75	-1.3671518470231163
1102	76-77	-1.6526241095043908
1102	78-79	-1.3905236019541647
1102	80-81	-1.3856199079643474
1102	82-83	-1.4656631165560796
1102	84-85	-1.4198865182192932
1102	86-87	-1.5033503348146766
1102	88-89	-1.5319606401487746
1102	90-91	-1.5072704384041344
1102	92-93	-1.6130623345180837
1102	94-95	-1.4646329671835403
1102	96-97	-1.6492913136515597
1102	98-99	-1.6211465554284956
1102	100-101	-1.6913602958741016
1103	1	-1.303855285123241
1103	2	-1.8368006230103866
1103	3	-3.0037177943997015
1103	4	-2.8983082613600004
1103	5	-3.1863518494415786
1103	6	-3.255772014048027
1103	7	-3.6433043887260617
1103	8	-2.9529520630630444
1103	9	-2.5892137720760715
1103	10-11	-2.034856126138955
